task_id,probs,runtime,support,stderr
1,"[0.24, 0.62, 0.12000000000000001, 0.020000000000000004]",26.88506817817688,"[1, 2, 3, 4]",
2,"[0.10000000000000002, 0.38, 0.46, 0.06]",12.462716102600098,"[4, 5, 6, 7]",
3,"[0.06, 0.28, 0.38, 0.26, 0.020000000000000004]",15.920133113861084,"[2, 3, 4, 5, 6]",
4,"[0.06, 0.14, 0.41999999999999993, 0.32, 0.06]",11.967820882797241,"[2, 3, 4, 5, 6]",
5,"[0.06, 0.14, 0.4, 0.36, 0.04000000000000001]",11.70494294166565,"[2, 3, 4, 5, 6]",
6,"[0.020000000000000004, 0.04000000000000001, 0.12000000000000001, 0.36, 0.46]",14.385656118392944,"[2, 3, 4, 5, 6]",
7,[1],9.829416275024414,[1],
8,"[0.020000000000000004, 0.56, 0.41999999999999993]",10.052523136138916,"[5, 6, 7]",
9,"[0.14, 0.56, 0.26, 0.04000000000000001]",12.285752773284912,"[1, 2, 3, 4]",
10,"[0.04000000000000001, 0.17999999999999997, 0.5, 0.28]",14.7342369556427,"[3, 4, 5, 6]",
11,"[0.020000000000000004, 0.28, 0.5, 0.15999999999999998, 0.04000000000000001]",10.537222862243652,"[2, 3, 4, 5, 6]",
12,[1],9.105511903762817,[7],
13,"[0.10000000000000002, 0.54, 0.36]",9.785735845565796,"[5, 6, 7]",
14,"[0.04000000000000001, 0.36, 0.4, 0.14, 0.06]",14.020106077194214,"[1, 2, 3, 4, 5]",
15,"[0.020000000000000004, 0.29999999999999993, 0.32, 0.32, 0.04000000000000001]",14.095927953720093,"[1, 2, 3, 4, 5]",
16,"[0.04000000000000001, 0.26, 0.46, 0.22, 0.020000000000000004]",12.560176849365234,"[2, 3, 4, 5, 6]",
17,"[0.020000000000000004, 0.10000000000000002, 0.24, 0.44, 0.17999999999999997, 0.020000000000000004]",59.782920837402344,"[1, 2, 3, 4, 5, 6]",
18,"[0.28, 0.36, 0.26, 0.10000000000000002]",15.22810411453247,"[2, 3, 4, 5]",
19,"[0.04000000000000001, 0.28, 0.46, 0.15999999999999998, 0.06]",22.570674180984497,"[2, 3, 4, 5, 6]",
20,"[0.06, 0.26, 0.26, 0.38, 0.04000000000000001]",35.44290900230408,"[2, 3, 4, 5, 6]",
21,"[0.17999999999999997, 0.32, 0.32, 0.15999999999999998, 0.020000000000000004]",11.704349279403687,"[2, 3, 4, 5, 6]",
22,"[0.10000000000000002, 0.5, 0.24, 0.12000000000000001, 0.04000000000000001]",170.74710774421692,"[2, 3, 4, 5, 6]",
23,"[0.020000000000000004, 0.15999999999999998, 0.41999999999999993, 0.36, 0.04000000000000001]",323.57770895957947,"[1, 2, 3, 4, 5]",
